Change Component Footprint: Designator=C40A Old Footprint=CAPC1608X87X35LL15T15 New Footprint=FP-C0603-CJ-MFG
Change Component Footprint: Designator=C40B Old Footprint=CAPC1608X87X35LL15T15 New Footprint=FP-C0603-CJ-MFG
Change Component Footprint: Designator=C52A Old Footprint=CAPC1608X87X35LL15T15 New Footprint=FP-C0603-CJ-MFG
Change Component Footprint: Designator=C52B Old Footprint=CAPC1608X87X35LL15T15 New Footprint=FP-C0603-CJ-MFG
Change Component Footprint: Designator=U13A Old Footprint=DBV0005A_L New Footprint=FP-DBV0005A-MFG
Change Component Footprint: Designator=U13B Old Footprint=DBV0005A_L New Footprint=FP-DBV0005A-MFG
Change Component Footprint: Designator=R59 Old Footprint=RESC0402(1005)_L New Footprint=RESC1005X40X25LL05T05
Change Component Footprint: Designator=R60 Old Footprint=RESC0402(1005)_L New Footprint=RESC1005X40X25LL05T05
Change Component Footprint: Designator=R73 Old Footprint=RESC0402(1005)_L New Footprint=RESC1005X40X25LL05T05
Change Component Footprint: Designator=R74 Old Footprint=RESC0402(1005)_L New Footprint=RESC1005X40X25LL05T05
Change Component Comment : Designator=C40A Old Comment=0.1 uF New Comment=C0603X104K5RACTU
Change Component Comment : Designator=C40B Old Comment=0.1 uF New Comment=C0603X104K5RACTU
Change Component Comment : Designator=C52A Old Comment=0.1 uF New Comment=C0603X104K5RACTU
Change Component Comment : Designator=C52B Old Comment=0.1 uF New Comment=C0603X104K5RACTU
Change Component Comment : Designator=R59 Old Comment=100 New Comment=ERJ-2RKF1000X
Change Component Comment : Designator=R60 Old Comment=100 New Comment=ERJ-2RKF1000X
Change Component Comment : Designator=R73 Old Comment=100 New Comment=ERJ-2RKF1000X
Change Component Comment : Designator=R74 Old Comment=100 New Comment=ERJ-2RKF1000X
Change Managed Component Library Link : Designator=C40A Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=45AAB018-B39A-4BA4-98A9-D9E8C6136D32 New ItemGUID=45AAB018-B39A-4BA4-98A9-D9E8C6136D32 Old RevisionGUID=8A61B673-4607-4E85-B5DE-56E31FBFEACA New RevisionGUID=68807F8B-A06A-4464-AFBA-93A9FF4C4A98
Change Managed Component Library Link : Designator=C40B Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=45AAB018-B39A-4BA4-98A9-D9E8C6136D32 New ItemGUID=45AAB018-B39A-4BA4-98A9-D9E8C6136D32 Old RevisionGUID=8A61B673-4607-4E85-B5DE-56E31FBFEACA New RevisionGUID=68807F8B-A06A-4464-AFBA-93A9FF4C4A98
Change Managed Component Library Link : Designator=C52A Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=45AAB018-B39A-4BA4-98A9-D9E8C6136D32 New ItemGUID=45AAB018-B39A-4BA4-98A9-D9E8C6136D32 Old RevisionGUID=8A61B673-4607-4E85-B5DE-56E31FBFEACA New RevisionGUID=68807F8B-A06A-4464-AFBA-93A9FF4C4A98
Change Managed Component Library Link : Designator=C52B Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=45AAB018-B39A-4BA4-98A9-D9E8C6136D32 New ItemGUID=45AAB018-B39A-4BA4-98A9-D9E8C6136D32 Old RevisionGUID=8A61B673-4607-4E85-B5DE-56E31FBFEACA New RevisionGUID=68807F8B-A06A-4464-AFBA-93A9FF4C4A98
Change Managed Component Library Link : Designator=U13A Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=C6D5D53E-0588-4500-B806-941B92E75296 New ItemGUID=C6D5D53E-0588-4500-B806-941B92E75296 Old RevisionGUID=7996A373-0811-44BF-A83E-2AFEFFCB9059 New RevisionGUID=9D1A43F3-42E8-4BCB-A204-A68241E655E1
Change Managed Component Library Link : Designator=U13B Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=C6D5D53E-0588-4500-B806-941B92E75296 New ItemGUID=C6D5D53E-0588-4500-B806-941B92E75296 Old RevisionGUID=7996A373-0811-44BF-A83E-2AFEFFCB9059 New RevisionGUID=9D1A43F3-42E8-4BCB-A204-A68241E655E1
Change Managed Component Library Link : Designator=R59 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=89FE0460-7D1A-4B11-9923-C86DF77D32ED New ItemGUID=52BF2754-DAE0-4791-BFF2-3133F275D8F8 Old RevisionGUID=DA2B7D7E-E915-4825-82FC-16D6C4CB7238 New RevisionGUID=9E729D99-CAC1-4F47-B38F-077F9568C433
Change Managed Component Library Link : Designator=R60 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=89FE0460-7D1A-4B11-9923-C86DF77D32ED New ItemGUID=52BF2754-DAE0-4791-BFF2-3133F275D8F8 Old RevisionGUID=DA2B7D7E-E915-4825-82FC-16D6C4CB7238 New RevisionGUID=9E729D99-CAC1-4F47-B38F-077F9568C433
Change Managed Component Library Link : Designator=R73 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=89FE0460-7D1A-4B11-9923-C86DF77D32ED New ItemGUID=52BF2754-DAE0-4791-BFF2-3133F275D8F8 Old RevisionGUID=DA2B7D7E-E915-4825-82FC-16D6C4CB7238 New RevisionGUID=9E729D99-CAC1-4F47-B38F-077F9568C433
Change Managed Component Library Link : Designator=R74 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=89FE0460-7D1A-4B11-9923-C86DF77D32ED New ItemGUID=52BF2754-DAE0-4791-BFF2-3133F275D8F8 Old RevisionGUID=DA2B7D7E-E915-4825-82FC-16D6C4CB7238 New RevisionGUID=9E729D99-CAC1-4F47-B38F-077F9568C433
Change component parameters: Designator = "R65" ("R65"); Footprint = "RESC1005X40X25NL05T05"; UniqueID = "\XSCYCGRR\RQVNQEXO\VNLMXBFB" ("\XSCYCGRR\RQVNQEXO\VNLMXBFB")
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters: Designator = "C52A" ("C52"); Footprint = "CAPC1608X87X35LL15T15"; UniqueID = "\XSCYCGRR\TELXTRJF\NQTNIQME\JXSFXVSI" ("\XSCYCGRR\TELXTRJF\NQTNIQME\JXSFXVSI")
Change component parameters (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance"; Value = "100nF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Cap"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://content.kemet.com/datasheets/KEM_C1013_X7R_FT-CAP_SMD.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L1"; Value = "Passive Components"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L2"; Value = "Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L3"; Value = "Ceramic Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey Description"; Value = "CAP CER 0.1UF 50V X7R 0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.95mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ipc Land Pattern Name"; Value = "CAPC16080X80"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Kemet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "C0603X104K5RACTU"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Description"; Value = "Capacitor; Ceramic; Cap 0.1uF; Tol+10%; SMT; Flexible Termination; Vol-Rtg 50V; TR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart"; Value = "https://octopart.com/c0603x104k5ractu-kemet-9145062"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "C0603-CJ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature"; Value = "-55°C to +125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Characteristic"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "15%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range High"; Value = "+125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100nF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters: Designator = "C52B" ("C52"); Footprint = "CAPC1608X87X35LL15T15"; UniqueID = "\XSCYCGRR\TELXTRJF\ZUEZTKKS\JXSFXVSI" ("\XSCYCGRR\TELXTRJF\ZUEZTKKS\JXSFXVSI")
Change component parameters (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance"; Value = "100nF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Cap"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://content.kemet.com/datasheets/KEM_C1013_X7R_FT-CAP_SMD.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L1"; Value = "Passive Components"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L2"; Value = "Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L3"; Value = "Ceramic Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey Description"; Value = "CAP CER 0.1UF 50V X7R 0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.95mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ipc Land Pattern Name"; Value = "CAPC16080X80"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Kemet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "C0603X104K5RACTU"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Description"; Value = "Capacitor; Ceramic; Cap 0.1uF; Tol+10%; SMT; Flexible Termination; Vol-Rtg 50V; TR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart"; Value = "https://octopart.com/c0603x104k5ractu-kemet-9145062"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "C0603-CJ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature"; Value = "-55°C to +125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Characteristic"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "15%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range High"; Value = "+125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100nF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters: Designator = "R59" ("R59"); Footprint = "RESC0402(1005)_L"; UniqueID = "\XSCYCGRR\RQVNQEXO\JICIVOLF" ("\XSCYCGRR\RQVNQEXO\JICIVOLF")
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "1005"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case\/Package"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.panasonic.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C86.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "04/2015"; VariantName = "[No Variations]"
